source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,fallback_selected,source_attacks,feature_name
Attack_24,AIT501,7.824789,7.826391,0.9296875,0.05628342245989305,0.873404077540107,False,Attack_24,AIT501_ATTACK_RANGE_022
Attack_32,AIT501,7.794027,7.798513,0.9666666666666667,0.09368947708198838,0.8729771895846783,False,Attack_32,AIT501_ATTACK_RANGE_023
Attack_17,AIT501,7.860356,7.86324,0.9040139616055847,0.03508346142437235,0.8689305001812123,False,Attack_17,AIT501_ATTACK_RANGE_024
Attack_41,AIT501,7.749808,7.761023,0.9492537313432836,0.08269082498072475,0.8665629063625588,False,Attack_41,AIT501_ATTACK_RANGE_025
Attack_33,AIT501,7.790503,7.798513,0.9830985915492958,0.11769121471274228,0.8654073768365536,False,Attack_33,AIT501_ATTACK_RANGE_026
Attack_37,AIT501,7.682518,7.771918,0.9546666666666667,0.18229124755237253,0.7723754191142942,False,Attack_37,AIT501_ATTACK_RANGE_027
Attack_34,AIT502,136.888,137.0674,0.9875,0.02144986161379604,0.966050138386204,False,Attack_34,AIT502_ATTACK_RANGE_000
Attack_22,AIT502,150.0,150.0,0.9594594594594594,0.00040229576784852223,0.9590571636916109,False,Attack_22,AIT502_ATTACK_RANGE_001
Attack_21,AIT502,146.0395,146.5009,0.9756944444444444,0.01825782092772384,0.9574366235167205,False,Attack_21,AIT502_ATTACK_RANGE_002
Attack_31,AIT502,139.5796,140.041,0.9556313993174061,0.014399272007065814,0.9412321273103403,False,Attack_31,AIT502_ATTACK_RANGE_003
Attack_27,AIT502,141.938,142.6557,0.9755917159763313,0.040518951079770826,0.9350727648965604,False,Attack_27,AIT502_ATTACK_RANGE_004
Attack_35,AIT502,136.5035,137.0418,0.9609375,0.03402017600343421,0.9269173239965658,False,Attack_35,AIT502_ATTACK_RANGE_005
Attack_20,AIT502,145.6806,146.1164,0.9493670886075949,0.035886448848419926,0.9134806397591749,False,Attack_20,AIT502_ATTACK_RANGE_006
Attack_16,AIT502,142.9377,143.5017,0.9727272727272728,0.07252377390746875,0.900203498819804,False,Attack_16,AIT502_ATTACK_RANGE_007
Attack_36,AIT502,137.3238,137.9134,0.9305555555555556,0.03328497743391361,0.897270578121642,False,Attack_36,AIT502_ATTACK_RANGE_008
Attack_13,AIT502,143.3735,143.8862,0.978494623655914,0.08478783026421137,0.8937067933917027,False,Attack_13,AIT502_ATTACK_RANGE_009
Attack_7,AIT502,144.1938,144.6552,0.9387755102040817,0.07308444777959425,0.8656910624244875,False,Attack_7,AIT502_ATTACK_RANGE_010
Attack_2,AIT502,144.0144,144.8603,0.9915254237288136,0.12701731810626776,0.8645081056225459,False,Attack_2,AIT502_ATTACK_RANGE_011
Attack_41,AIT502,138.1953,138.9387,0.9194029850746268,0.09433858354444322,0.8250644015301836,False,Attack_41,AIT502_ATTACK_RANGE_012
Attack_25,AIT503,271.3407,271.4368,0.9815950920245399,0.008286921193531896,0.973308170831008,False,Attack_25,AIT503_ATTACK_RANGE_000
Attack_19,AIT503,254.5181,254.7744,0.9806763285024155,0.008571657454137627,0.9721046710482779,False,Attack_19,AIT503_ATTACK_RANGE_001
Attack_10,AIT503,270.2192,270.9562,1.0,0.030590492432317203,0.9694095075676828,False,Attack_10,AIT503_ATTACK_RANGE_002
Attack_40,AIT503,245.2576,248.9105,0.9578059071729957,0.005157807530933483,0.9526480996420622,False,Attack_40,AIT503_ATTACK_RANGE_003
Attack_23,AIT503,269.9949,270.4114,0.9622980251346499,0.013046173751314052,0.9492518513833359,False,Attack_23,AIT503_ATTACK_RANGE_004
Attack_16,AIT503,260.7344,261.2151,0.990909090909091,0.04530398546853296,0.945605105440558,False,Attack_16,AIT503_ATTACK_RANGE_005
Attack_4,AIT503,262.2404,262.657,0.9487179487179487,0.01617395029991431,0.9325439984180344,False,Attack_4,AIT503_ATTACK_RANGE_006
Attack_38,AIT503,260.7665,260.9267,0.9508928571428571,0.023322291087839283,0.9275705660550179,False,Attack_38,AIT503_ATTACK_RANGE_007
Attack_39,AIT503,244.9052,249.6796,0.93125,0.007767302335547461,0.9234826976644526,False,Attack_39,AIT503_ATTACK_RANGE_008
Attack_17,AIT503,260.24096000000003,260.5742,0.9232111692844677,0.012188873607852655,0.911022295676615,False,Attack_17,AIT503_ATTACK_RANGE_009
Attack_3,AIT503,263.7465,263.93875,0.9117647058823529,0.017081659973226238,0.8946830459091267,False,Attack_3,AIT503_ATTACK_RANGE_010
Attack_34,AIT503,263.4261,266.0536,1.0,0.11504683840749415,0.8849531615925058,False,Attack_34,AIT503_ATTACK_RANGE_011
Attack_1,AIT503,261.3432,262.3686,0.9481382978723404,0.08177975287231737,0.8663585450000231,False,Attack_1,AIT503_ATTACK_RANGE_012
Attack_34,AIT504,14.99615,15.18841,1.0,0.0712955077709176,0.9287044922290824,False,Attack_34,AIT504_ATTACK_RANGE_000
Attack_24,AIT504,13.95796,14.22712,0.953125,0.049946524064171126,0.9031784759358289,False,Attack_24,AIT504_ATTACK_RANGE_001
Attack_23,AIT504,13.65035,13.95796,0.9551166965888689,0.05628184048087549,0.8988348561079934,False,Attack_23,AIT504_ATTACK_RANGE_002
Attack_16,AIT504,11.65086,11.88157,0.9590909090909091,0.06541831392242761,0.8936725951684815,False,Attack_16,AIT504_ATTACK_RANGE_003
Attack_33,AIT504,15.38067,15.76519,0.9830985915492958,0.09364360204820246,0.8894549895010934,False,Attack_33,AIT504_ATTACK_RANGE_004
Attack_8,AIT504,12.53525,13.34273,0.9027237354085603,0.03193710180290091,0.8707866336056594,False,Attack_8,AIT504_ATTACK_RANGE_005
Attack_32,AIT504,14.18867,14.53473,0.9229166666666667,0.06864643856251344,0.8542702281041533,False,Attack_32,AIT504_ATTACK_RANGE_006
Attack_35,AIT504,15.68828,16.30351,0.9140625,0.086874865851041,0.827187634148959,False,Attack_35,AIT504_ATTACK_RANGE_007
Attack_37,AIT504,15.41912,21.10997,0.9946666666666667,0.17754352082830396,0.8171231458383628,False,Attack_37,AIT504_ATTACK_RANGE_008
Attack_29,DPIT301,2.061592,2.061592,0.9791666666666666,0.001810436634717785,0.9773562300319488,False,Attack_29,DPIT301_ATTACK_RANGE_000
Attack_8,DPIT301,45.0,45.0,0.9779507133592736,0.015182323437711807,0.9627683899215619,False,Attack_8,DPIT301_ATTACK_RANGE_001
Attack_2,FIT201,2.78871,2.8021276,0.903954802259887,0.03624470537772773,0.8677100968821593,False,Attack_2,FIT201_ATTACK_RANGE_000
Attack_10,FIT401,0.0,0.7,1.0,0.0445534001279045,0.9554465998720955,False,Attack_10,FIT401_ATTACK_RANGE_000
Attack_11,FIT401,0.0,0.0,0.9709821428571429,0.024430230058052033,0.9465519127990909,False,Attack_11,FIT401_ATTACK_RANGE_001
Attack_22,FIT401,1.207446,1.228334,0.9324324324324325,2.681971785656815e-05,0.9324056127145759,False,Attack_22,FIT401_ATTACK_RANGE_002
Attack_28,FIT401,0.0,1.7050071999999998,0.9497964721845319,0.0770335057829302,0.8727629664016017,False,Attack_28,FIT401_ATTACK_RANGE_003
Attack_38,FIT501,1.711356,1.717765,0.9553571428571429,0.06994015815345159,0.8854169847036913,False,Attack_38,FIT501_ATTACK_RANGE_000
Attack_11,FIT504,0.0,0.0,0.9776785714285714,0.0435390238658353,0.9341395475627361,False,Attack_11,FIT504_ATTACK_RANGE_000
Attack_21,LIT101,700.0,700.0,0.9739583333333334,0.025,0.9489583333333333,False,"Attack_21,Attack_30",LIT101_ATTACK_RANGE_000
Attack_1,LIT101,836.3978,869.8411,0.9029255319148937,0.002221981357034468,0.9007035505578592,False,Attack_1,LIT101_ATTACK_RANGE_001
Attack_28,LIT101,812.56354,814.2985,0.9104477611940298,0.026490424984425363,0.8839573362096045,False,Attack_28,LIT101_ATTACK_RANGE_002
Attack_37,LIT101,707.11485,810.40066,0.8986666666666666,0.09095786057240954,0.8077088060942571,False,Attack_37,LIT101_ATTACK_RANGE_003
Attack_26,LIT301,801.0,801.0,0.9801038062283737,0.00046575342465753425,0.9796380528037162,False,Attack_26,LIT301_ATTACK_RANGE_000
Attack_29,LIT301,1008.556,1010.118,0.9375,0.02287007454739084,0.9146299254526091,False,Attack_29,LIT301_ATTACK_RANGE_001
Attack_28,LIT301,1011.64,1016.286,0.9063772048846676,0.00820715620683117,0.8981700486778363,False,Attack_28,LIT301_ATTACK_RANGE_002
Attack_20,LIT301,916.1914,933.384475,0.9018987341772152,0.04692019282271023,0.854978541354505,False,Attack_20,LIT301_ATTACK_RANGE_003
Attack_31,LIT401,600.0,600.0,1.0,0.011401654042769585,0.9885983459572304,False,Attack_31,LIT401_ATTACK_RANGE_000
Attack_25,LIT401,1000.0,1000.0,0.9631901840490797,0.0003497726477789437,0.9628404114013008,False,Attack_25,LIT401_ATTACK_RANGE_001
Attack_28,LIT401,246.5906,494.0117399999991,0.9050203527815468,0.0,0.9050203527815468,False,Attack_28,LIT401_ATTACK_RANGE_002
Attack_26,PIT501,244.5046,245.4659,0.9230103806228374,0.008082191780821918,0.9149281888420154,False,Attack_26,PIT501_ATTACK_RANGE_000
