source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,attack_train_samples,fallback_selected,source_attacks,feature_name
Attack_6,AIT203,329.5565,330.0436,0.9617834394904459,0.015561299261904128,0.9462221402285418,157,False,Attack_6,AIT203_ATTACK_RANGE_004
Attack_19,AIT203,333.5555,333.7862,0.9615384615384616,0.016462991621751428,0.9450754699167101,208,False,Attack_19,AIT203_ATTACK_RANGE_005
Attack_4,AIT203,330.7101,331.1971,0.967948717948718,0.03055600149836785,0.93739271645035,312,False,Attack_4,AIT203_ATTACK_RANGE_006
Attack_33,AIT203,304.9474,305.1782,0.9466292134831461,0.012777926600589339,0.9338512868825568,356,False,Attack_33,AIT203_ATTACK_RANGE_007
Attack_38,AIT203,291.028,292.1302,0.9422222222222222,0.01137182669976776,0.9308503955224544,225,False,Attack_38,AIT203_ATTACK_RANGE_008
Attack_11,AIT203,327.7108,328.4286,0.9354120267260579,0.005585842038832344,0.9298261846872256,449,False,Attack_11,AIT203_ATTACK_RANGE_009
Attack_20,AIT203,333.4786,333.6324,0.9367088607594937,0.012496655070912497,0.9242122056885812,316,False,Attack_20,AIT203_ATTACK_RANGE_010
Attack_2,AIT203,328.6593,329.2745,0.9492957746478873,0.03182341753502451,0.9174723571128628,355,False,Attack_2,AIT203_ATTACK_RANGE_011
Attack_21,AIT203,332.0174,332.8634,0.9393414211438474,0.028160284567086153,0.9111811365767613,577,False,Attack_21,AIT203_ATTACK_RANGE_012
Attack_31,AIT203,299.82696500000003,301.6406,0.935374149659864,0.026957637997432605,0.9084165116624314,294,False,Attack_31,AIT203_ATTACK_RANGE_013
Attack_39,AIT203,303.8195,305.1782,0.9501557632398754,0.04474775859761809,0.9054080046422572,321,False,Attack_39,AIT203_ATTACK_RANGE_014
Attack_3,AIT203,316.55727,318.7132,0.9218241042345277,0.0447577516787501,0.8770663525557776,307,False,Attack_3,AIT203_ATTACK_RANGE_015
Attack_7,AIT203,316.8931,319.6706,0.9331395348837209,0.06172674200631996,0.8714127928774009,344,False,Attack_7,AIT203_ATTACK_RANGE_016
Attack_41,AIT203,304.8193,307.2545,0.9208955223880597,0.06270291091179223,0.8581926114762675,1340,False,Attack_41,AIT203_ATTACK_RANGE_017
Attack_32,AIT203,290.7716,300.2563,0.918918918918919,0.07122698562021233,0.8476919332987066,481,False,Attack_32,AIT203_ATTACK_RANGE_018
Attack_35,AIT203,288.6696,303.5888,0.9974025974025974,0.16962011742312538,0.827782479979472,385,False,Attack_35,AIT203_ATTACK_RANGE_019
Attack_24,AIT402,149.6796,150.5511,0.9727626459143969,0.020064655748216625,0.9526979901661803,257,False,Attack_24,AIT402_ATTACK_RANGE_000
Attack_29,AIT402,146.3727,146.8854,0.9690721649484536,0.02628428529623028,0.9427878796522233,97,False,Attack_29,AIT402_ATTACK_RANGE_001
Attack_31,AIT402,147.517305,147.9108,0.9489795918367347,0.020726358579375267,0.9282532332573595,294,False,Attack_31,AIT402_ATTACK_RANGE_002
Attack_13,AIT402,151.9867,152.6275,0.9893048128342246,0.0706685511613643,0.9186362616728603,187,False,Attack_13,AIT402_ATTACK_RANGE_003
Attack_30,AIT402,146.0651,146.8342,0.9445037353255069,0.027483741054178345,0.9170199942713285,937,False,Attack_30,AIT402_ATTACK_RANGE_004
Attack_6,AIT402,155.0372,155.2679,0.9554140127388535,0.044179168109994935,0.9112348446288586,157,False,Attack_6,AIT402_ATTACK_RANGE_005
Attack_35,AIT402,142.989,143.6298,0.9246753246753247,0.013833409291976087,0.9108419153833486,385,False,Attack_35,AIT402_ATTACK_RANGE_006
Attack_26,AIT402,149.1925,150.2692,0.916955017301038,0.008321927183137148,0.9086330901179008,1156,False,Attack_26,AIT402_ATTACK_RANGE_007
Attack_34,AIT402,143.6555,143.9887,0.9506172839506173,0.04371759074591145,0.9068996932047059,81,False,Attack_34,AIT402_ATTACK_RANGE_008
Attack_27,AIT402,148.3978,148.9874,0.9379157427937915,0.03324801144964633,0.9046677313441452,1353,False,Attack_27,AIT402_ATTACK_RANGE_009
Attack_21,AIT402,154.3194,154.8321,0.9722703639514731,0.06866258859036892,0.9036077753611043,577,False,Attack_21,AIT402_ATTACK_RANGE_010
Attack_4,AIT402,154.5501,155.0628,0.9711538461538461,0.06828276341841923,0.9028710827354269,312,False,Attack_4,AIT402_ATTACK_RANGE_011
Attack_32,AIT402,145.2961,146.2446,0.9480249480249481,0.048273081575057115,0.8997518664498909,481,False,Attack_32,AIT402_ATTACK_RANGE_012
Attack_36,AIT402,143.6555,144.4501,0.9537037037037037,0.10060664626617276,0.853097057437531,432,False,Attack_36,AIT402_ATTACK_RANGE_013
Attack_41,AIT402,144.1425,144.8347,0.926865671641791,0.07453364881967754,0.8523320228221135,1340,False,Attack_41,AIT402_ATTACK_RANGE_014
Attack_37,AIT402,140.9126,144.809,0.9601063829787234,0.1878584829804342,0.7722478999982892,376,False,Attack_37,AIT402_ATTACK_RANGE_015
Attack_3,AIT501,7.879582,7.882146,0.990228013029316,0.004548008239920811,0.9856800047893951,307,False,Attack_3,AIT501_ATTACK_RANGE_000
Attack_6,AIT501,7.869969,7.870931,1.0,0.023368594953236163,0.9766314050467638,157,False,Attack_6,AIT501_ATTACK_RANGE_001
Attack_4,AIT501,7.87061,7.873174,1.0,0.03510461818376411,0.9648953818162359,312,False,Attack_4,AIT501_ATTACK_RANGE_002
Attack_10,AIT501,7.852987,7.853628,0.96875,0.005964108844986421,0.9627858911550136,128,False,Attack_10,AIT501_ATTACK_RANGE_003
Attack_39,AIT501,7.75109,7.755255,1.0,0.055078281814532316,0.9449217181854677,321,False,Attack_39,AIT501_ATTACK_RANGE_004
Attack_29,AIT501,7.8384388000000005,7.84081,0.9484536082474226,0.005320705525552688,0.94313290272187,97,False,Attack_29,AIT501_ATTACK_RANGE_005
Attack_31,AIT501,7.778006,7.779928,0.9455782312925171,0.009681215233204964,0.9358970160593121,294,False,Attack_31,AIT501_ATTACK_RANGE_006
Attack_26,AIT501,7.784414,7.7889,0.9429065743944637,0.007911305776074459,0.9349952686183892,1156,False,Attack_26,AIT501_ATTACK_RANGE_007
Attack_1,AIT501,7.873174,7.876058,0.964095744680851,0.03035143769968051,0.9337443069811705,752,False,Attack_1,AIT501_ATTACK_RANGE_008
Attack_21,AIT501,7.822866,7.82575,0.9809358752166378,0.05731763184133229,0.9236182433753055,577,False,Attack_21,AIT501_ATTACK_RANGE_009
Attack_23,AIT501,7.801077,7.804922,0.9336917562724014,0.017183796595561303,0.9165079596768401,558,False,Attack_23,AIT501_ATTACK_RANGE_010
Attack_8,AIT501,7.856191,7.860997,0.9546632124352331,0.04748875765292301,0.9071744547823101,772,False,Attack_8,AIT501_ATTACK_RANGE_011
Attack_34,AIT501,7.796911,7.798513,0.9506172839506173,0.04544608429730089,0.9051711996533164,81,False,Attack_34,AIT501_ATTACK_RANGE_012
Attack_16,AIT501,7.857152,7.859715,0.9366515837104072,0.034939276658214335,0.9017123070521929,221,False,Attack_16,AIT501_ATTACK_RANGE_013
Attack_27,AIT501,7.7591,7.769675,0.9327420546932742,0.04158753750034404,0.8911545171929302,1353,False,Attack_27,AIT501_ATTACK_RANGE_014
Attack_30,AIT501,7.825109,7.830556,0.9562433297758804,0.06789300389126235,0.8883503258846182,937,False,Attack_30,AIT501_ATTACK_RANGE_015
Attack_28,AIT501,7.441554,7.74285415,0.9010840108401084,0.013776117787160333,0.887307893052948,738,False,Attack_28,AIT501_ATTACK_RANGE_016
Attack_17,AIT501,7.860036,7.86324,0.9233449477351916,0.03745419271394697,0.8858907550212446,574,False,Attack_17,AIT501_ATTACK_RANGE_017
Attack_36,AIT501,7.79595,7.80147735,0.9490740740740741,0.06447629784721104,0.8845977762268631,432,False,Attack_36,AIT501_ATTACK_RANGE_018
Attack_38,AIT501,7.752051,7.755576,0.9288888888888889,0.0484503884039401,0.8804385004849488,225,False,Attack_38,AIT501_ATTACK_RANGE_019
